A	B	C	D	E	F	G	H

111	111	111	111	111	111	111	111
222	222	222	222	222	222	222	222
333	333	333	333	333	333	333	333
444	444	444	444	444	444	444	444
555	555	555	555	555	555	555	555
666	666	666	666	666	666	666	666
777	777	777	777	777	777	777	777
888	888	888	888	888	888	888	888
999	999	999	999	999	999	999	999
101010	101010	101010	101010	101010	101010	101010	101010
111111	111111	111111	111111	111111	111111	111111	111111
121212	121212	121212	121212	121212	121212	121212	121212
131313	131313	131313	131313	131313	131313	131313	131313
141414	141414	141414	141414	141414	141414	141414	141414
151515	151515	151515	151515	151515	151515	151515	151515
161616	161616	161616	161616	161616	161616	161616	161616
171717	171717	171717	171717	171717	171717	171717	171717
181818	181818	181818	181818	181818	181818	181818	181818
191919	191919	191919	191919	191919	191919	191919	191919
202020	202020	202020	202020	202020	202020	202020	202020
212121	212121	212121	212121	212121	212121	212121	212121
222222	222222	222222	222222	222222	222222	222222	222222
232323	232323	232323	232323	232323	232323	232323	232323
242424	242424	242424	242424	242424	242424	242424	242424
252525	252525	252525	252525	252525	252525	252525	252525
262626	262626	262626	262626	262626	262626	262626	262626
272727	272727	272727	272727	272727	272727	272727	272727
282828	282828	282828	282828	282828	282828	282828	282828
292929	292929	292929	292929	292929	292929	292929	292929
303030	303030	303030	303030	303030	303030	303030	303030
313131	313131	313131	313131	313131	313131	313131	313131
323232	323232	323232	323232	323232	323232	323232	323232
333333	333333	333333	333333	333333	333333	333333	333333
343434	343434	343434	343434	343434	343434	343434	343434
353535	353535	353535	353535	353535	353535	353535	353535
363636	363636	363636	363636	363636	363636	363636	363636
373737	373737	373737	373737	373737	373737	373737	373737
383838	383838	383838	383838	383838	383838	383838	383838
393939	393939	393939	393939	393939	393939	393939	393939
404040	404040	404040	404040	404040	404040	404040	404040
414141	414141	414141	414141	414141	414141	414141	414141
424242	424242	424242	424242	424242	424242	424242	424242
434343	434343	434343	434343	434343	434343	434343	434343
444444	444444	444444	444444	444444	444444	444444	444444
454545	454545	454545	454545	454545	454545	454545	454545
464646	464646	464646	464646	464646	464646	464646	464646
474747	474747	474747	474747	474747	474747	474747	474747
484848	484848	484848	484848	484848	484848	484848	484848
494949	494949	494949	494949	494949	494949	494949	494949
505050	505050	505050	505050	505050	505050	505050	505050
515151	515151	515151	515151	515151	515151	515151	515151
525252	525252	525252	525252	525252	525252	525252	525252
535353	535353	535353	535353	535353	535353	535353	535353
545454	545454	545454	545454	545454	545454	545454	545454
555555	555555	555555	555555	555555	555555	555555	555555
565656	565656	565656	565656	565656	565656	565656	565656
575757	575757	575757	575757	575757	575757	575757	575757
585858	585858	585858	585858	585858	585858	585858	585858
595959	595959	595959	595959	595959	595959	595959	595959
606060	606060	606060	606060	606060	606060	606060	606060
616161	616161	616161	616161	616161	616161	616161	616161
626262	626262	626262	626262	626262	626262	626262	626262
636363	636363	636363	636363	636363	636363	636363	636363
646464	646464	646464	646464	646464	646464	646464	646464
656565	656565	656565	656565	656565	656565	656565	656565
666666	666666	666666	666666	666666	666666	666666	666666
676767	676767	676767	676767	676767	676767	676767	676767
686868	686868	686868	686868	686868	686868	686868	686868
696969	696969	696969	696969	696969	696969	696969	696969
707070	707070	707070	707070	707070	707070	707070	707070
717171	717171	717171	717171	717171	717171	717171	717171
727272	727272	727272	727272	727272	727272	727272	727272
737373	737373	737373	737373	737373	737373	737373	737373
747474	747474	747474	747474	747474	747474	747474	747474
757575	757575	757575	757575	757575	757575	757575	757575
767676	767676	767676	767676	767676	767676	767676	767676
777777	777777	777777	777777	777777	777777	777777	777777
787878	787878	787878	787878	787878	787878	787878	787878
797979	797979	797979	797979	797979	797979	797979	797979
808080	808080	808080	808080	808080	808080	808080	808080
818181	818181	818181	818181	818181	818181	818181	818181
828282	828282	828282	828282	828282	828282	828282	828282
838383	838383	838383	838383	838383	838383	838383	838383
848484	848484	848484	848484	848484	848484	848484	848484
858585	858585	858585	858585	858585	858585	858585	858585
868686	868686	868686	868686	868686	868686	868686	868686
878787	878787	878787	878787	878787	878787	878787	878787
888888	888888	888888	888888	888888	888888	888888	888888
898989	898989	898989	898989	898989	898989	898989	898989
909090	909090	909090	909090	909090	909090	909090	909090
919191	919191	919191	919191	919191	919191	919191	919191
929292	929292	929292	929292	929292	929292	929292	929292
939393	939393	939393	939393	939393	939393	939393	939393
949494	949494	949494	949494	949494	949494	949494	949494
959595	959595	959595	959595	959595	959595	959595	959595
969696	969696	969696	969696	969696	969696	969696	969696
979797	979797	979797	979797	979797	979797	979797	979797
989898	989898	989898	989898	989898	989898	989898	989898
999999	999999	999999	999999	999999	999999	999999	999999
100100100	100100100	100100100	100100100	100100100	100100100	100100100	100100100
